x,bf,bv,numRows,coef0,coef1,coef2
Height,Age,40,1422,-0.0129617342,-0.0331732691,-0.0316348389
Height,Age,47,1040,0.0009015990,0.0213378344,0.0438374172
Height,Age,42,1385,0.0298686916,0.0247727826,-0.0078943587
Height,Age,44,1383,0.0212802805,-0.0191744809,-0.0085295346
Height,Age,24,582,-0.0204600179,-0.0493179434,0.0104591396
Height,Age,28,1071,-0.0325458267,0.0301164713,0.0105755704
Height,Age,50,745,-0.0574050107,-0.0227395241,-0.0214354131
Height,Age,33,1649,0.0023052726,-0.0204635812,-0.0058303776
Height,Age,36,1644,-0.0449482961,-0.0304531992,-0.0077563587
Height,Age,39,1458,-0.0034739502,0.0156466693,-0.0161237811
Height,Age,30,1277,-0.0031350328,0.0156712336,0.0119623605
Height,Age,52,640,0.0710258768,-0.0479154376,0.0099792061
Height,Age,38,1546,0.0333406677,0.0136801294,-0.0353593283
Height,Age,45,1291,-0.0271398920,-0.0045789405,-0.0369022628
Height,Age,35,1751,0.0179955596,0.0172448963,-0.0044854345
Height,Age,48,971,0.0199325942,0.0339591594,-0.0285741536
Height,Age,41,1371,-0.0259844312,0.0118383379,-0.0172209085
Height,Age,26,786,0.0214985910,-0.0370138655,-0.0589550296
Height,Age,43,1382,0.0108989949,0.0361558406,-0.0097883685
Height,Age,32,1559,-0.0061507485,0.0390598224,-0.0272110842
Height,Age,31,1412,-0.0196238583,-0.0076609438,0.0089236724
Height,Age,54,606,-0.0853252546,-0.0645919063,0.0603380640
Height,Age,67,145,-0.0765819726,-0.0736763102,-0.0130463775
Height,Age,27,899,0.0014474749,-0.0126610001,0.0115556932
Height,Age,57,498,0.0348994485,0.0254207349,0.0192046445
Height,Age,19,147,0.0346034940,-0.1704129042,0.0950407293
Height,Age,29,1025,0.0420521333,-0.0450534843,-0.0125117131
Height,Age,37,1653,0.0250445153,-0.0189948883,0.0190300433
Height,Age,46,1180,0.0191223335,-0.0028293488,-0.0092559954
Height,Age,56,576,0.0293759585,0.0514001647,-0.0147395277
Height,Age,60,438,-0.0480608537,-0.0310759517,-0.0228171172
Height,Age,68,128,-0.1557927002,0.0240566487,0.0870311411
Height,Age,34,1642,0.0073124493,-0.0169600596,0.0419465885
Height,Age,58,483,0.0663571448,-0.0349517453,0.0439903596
Height,Age,22,368,-0.0567550596,-0.0449774444,-0.0655666233
Height,Age,21,299,-0.0984244719,-0.1542762181,0.0228824314
Height,Age,59,470,0.0047831246,-0.0847236893,-0.0422934169
Height,Age,53,599,-0.0107493445,-0.0734029482,0.0451283240
Height,Age,20,194,-0.0307738692,0.1263056692,0.0089508229
Height,Age,62,302,-0.0668926140,-0.0563165038,0.1004000221
Height,Age,69,84,-0.0912112663,-0.1374169702,0.1487796593
Height,Age,64,248,-0.1609324253,0.0794512509,0.1011806001
Height,Age,49,867,0.0236760639,-0.0360536535,-0.0191493848
Height,Age,55,575,-0.0360425018,0.0141868325,-0.0358419658
Height,Age,18,112,-0.0980078673,0.0357271761,0.0276233764
Height,Age,25,728,-0.0077114604,-0.0068269906,-0.0776418719
Height,Age,23,525,-0.0458685645,-0.0453076529,-0.0530691286
Height,Age,51,721,-0.0614117329,-0.0112157475,-0.0139264748
Height,Age,61,379,-0.0018611623,0.0510447100,-0.1183161000
Height,Age,16,41,-0.0054666205,-0.2830364596,-0.1186528345
Height,Age,65,189,-0.0967215614,-0.0980865622,0.0392349997
Height,Age,66,180,0.1470848986,-0.0922619326,-0.0137834816
Height,Age,17,52,-0.2884735237,-0.2429562914,-0.0233872663
Height,Age,70,47,-0.3889236539,-0.4465699762,-0.0934528971
Height,Age,15,27,-0.2249949033,-0.1635715569,-0.4784519173
Height,Age,63,275,-0.0284072041,0.0530087550,-0.0783948591
Height,Age,14,20,-0.4169037930,-0.2467693458,0.2932381635
Height,Age,71,17,0.1490685818,-0.7728667830,-0.1435040502
Height,Age,13,10,-0.1469759528,0.0681308530,0.3494023563
Height,Age,12,3,0.0000000000,0.0000000000,0.0000000000
Height,Age,72,3,0.0000000000,0.0000000000,0.0000000000
Height,Age,11,3,0.0000000000,0.0000000000,0.0000000000
Height,Age,10,1,0.0000000000,0.0000000000,0.0000000000
